鉄道事業者,路線,駅1,駅2,経度1,緯度1,経度2,緯度2,フラグ,value
九州旅客鉄道,指宿枕崎線,鹿児島中央,郡元,130.54216,31.58486,130.541985,31.565640000000002,1,
九州旅客鉄道,指宿枕崎線,郡元,南鹿児島,130.541985,31.565640000000002,130.5436,31.5548,1,
九州旅客鉄道,指宿枕崎線,南鹿児島,宇宿,130.5436,31.5548,130.53602,31.54386,1,
九州旅客鉄道,指宿枕崎線,宇宿,谷山,130.53602,31.54386,130.51898,31.52709,1,
九州旅客鉄道,指宿枕崎線,谷山,慈眼寺,130.51898,31.52709,130.50583,31.516910000000003,1,
九州旅客鉄道,指宿枕崎線,慈眼寺,坂之上,130.50583,31.516910000000003,130.50766,31.50054,1,
九州旅客鉄道,指宿枕崎線,坂之上,五位野,130.50766,31.50054,130.50408499999998,31.475234999999998,1,
九州旅客鉄道,指宿枕崎線,五位野,平川,130.50408499999998,31.475234999999998,130.51384000000002,31.449170000000002,1,
九州旅客鉄道,指宿枕崎線,平川,瀬々串,130.51384000000002,31.449170000000002,130.522735,31.421219999999998,1,
九州旅客鉄道,指宿枕崎線,瀬々串,中名,130.522735,31.421219999999998,130.53505,31.39378,1,
九州旅客鉄道,指宿枕崎線,中名,喜入,130.53505,31.39378,130.53883,31.371335000000002,1,
九州旅客鉄道,指宿枕崎線,喜入,前之浜,130.53883,31.371335000000002,130.557285,31.343035,1,
九州旅客鉄道,指宿枕崎線,前之浜,生見,130.557285,31.343035,130.577605,31.307265,1,
九州旅客鉄道,指宿枕崎線,生見,薩摩今和泉,130.577605,31.307265,130.59894500000001,31.290685,1,
九州旅客鉄道,指宿枕崎線,薩摩今和泉,宮ヶ浜,130.59894500000001,31.290685,130.61971499999999,31.27714,1,
九州旅客鉄道,指宿枕崎線,宮ヶ浜,二月田,130.61971499999999,31.27714,130.6301,31.25432,1,
九州旅客鉄道,指宿枕崎線,二月田,指宿,130.6301,31.25432,130.64251,31.23714,1,
九州旅客鉄道,指宿枕崎線,指宿,山川,130.64251,31.23714,130.63,31.211615000000002,1,
九州旅客鉄道,指宿枕崎線,山川,大山,130.63,31.211615000000002,130.599255,31.194985000000003,1,
九州旅客鉄道,指宿枕崎線,大山,西大山,130.599255,31.194985000000003,130.576445,31.190305000000002,1,
九州旅客鉄道,指宿枕崎線,西大山,薩摩川尻,130.576445,31.190305000000002,130.565525,31.19478,1,
九州旅客鉄道,指宿枕崎線,薩摩川尻,東開聞,130.565525,31.19478,130.549875,31.200935,1,
九州旅客鉄道,指宿枕崎線,東開聞,開聞,130.549875,31.200935,130.534735,31.203975,1,
九州旅客鉄道,指宿枕崎線,開聞,入野,130.534735,31.203975,130.51875,31.204325,1,
九州旅客鉄道,指宿枕崎線,入野,頴娃,130.51875,31.204325,130.50038,31.229035,1,
九州旅客鉄道,指宿枕崎線,頴娃,西頴娃,130.50038,31.229035,130.49141500000002,31.24117,1,
九州旅客鉄道,指宿枕崎線,西頴娃,御領,130.49141500000002,31.24117,130.468655,31.25208,1,
九州旅客鉄道,指宿枕崎線,御領,石垣,130.468655,31.25208,130.445205,31.259355,1,
九州旅客鉄道,指宿枕崎線,石垣,水成川,130.445205,31.259355,130.43056,31.257155,1,
九州旅客鉄道,指宿枕崎線,水成川,頴娃大川,130.43056,31.257155,130.41342500000002,31.257945,1,
九州旅客鉄道,指宿枕崎線,頴娃大川,松ヶ浦,130.41342500000002,31.257945,130.394665,31.25889,1,
九州旅客鉄道,指宿枕崎線,松ヶ浦,薩摩塩屋,130.394665,31.25889,130.37619999999998,31.25714,1,
九州旅客鉄道,指宿枕崎線,薩摩塩屋,白沢,130.37619999999998,31.25714,130.35665,31.25687,1,
九州旅客鉄道,指宿枕崎線,白沢,薩摩板敷,130.35665,31.25687,130.33108,31.262275000000002,1,
九州旅客鉄道,指宿枕崎線,薩摩板敷,枕崎,130.33108,31.262275000000002,130.29943,31.272109999999998,1,
九州旅客鉄道,吉都線,都城,日向庄内,131.07401,31.736600000000003,131.0615,31.762124999999997,1,
九州旅客鉄道,吉都線,日向庄内,谷頭,131.0615,31.762124999999997,131.054005,31.789195,1,
九州旅客鉄道,吉都線,谷頭,万ヶ塚,131.054005,31.789195,131.06395500000002,31.817175,1,
九州旅客鉄道,吉都線,万ヶ塚,東高崎,131.06395500000002,31.817175,131.06502,31.84097,1,
九州旅客鉄道,吉都線,東高崎,高崎新田,131.06502,31.84097,131.06265000000002,31.875884999999997,1,
九州旅客鉄道,吉都線,高崎新田,日向前田,131.06265000000002,31.875884999999997,131.040345,31.90864,1,
九州旅客鉄道,吉都線,日向前田,高原,131.040345,31.90864,130.99900000000002,31.926845,1,
九州旅客鉄道,吉都線,高原,広原,130.99900000000002,31.926845,130.984875,31.957785,1,
九州旅客鉄道,吉都線,広原,小林,130.984875,31.957785,130.976095,31.99072,1,
九州旅客鉄道,吉都線,小林,西小林,130.976095,31.99072,130.921795,32.00947,1,
九州旅客鉄道,吉都線,西小林,えびの飯野,130.921795,32.00947,130.871195,32.030325000000005,1,
九州旅客鉄道,吉都線,えびの飯野,えびの上江,130.871195,32.030325000000005,130.85003,32.03561,1,
九州旅客鉄道,吉都線,えびの上江,えびの,130.85003,32.03561,130.81617,32.04227,1,
九州旅客鉄道,吉都線,えびの,京町温泉,130.81617,32.04227,130.767925,32.045415,1,
九州旅客鉄道,吉都線,京町温泉,鶴丸,130.767925,32.045415,130.74871000000002,32.03058,1,
九州旅客鉄道,吉都線,鶴丸,吉松,130.74871000000002,32.03058,130.738135,32.011865,1,
