鉄道事業者,路線,駅1,駅2,経度1,緯度1,経度2,緯度2,フラグ,value,_color,_opacity,_width,_sort-key
東京地下鉄,2号線日比谷線,中目黒,恵比寿,139.69886,35.64414,139.70828,35.6466,1,明かり,#FF0000,,12,100
東京地下鉄,2号線日比谷線,恵比寿,広尾,139.70828,35.6466,139.72216,35.65235,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,広尾,六本木,139.72216,35.65235,139.731275,35.664065,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,六本木,神谷町,139.731275,35.664065,139.744725,35.662625,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,神谷町,虎ノ門ヒルズ,139.744725,35.662625,139.747775,35.66733,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,虎ノ門ヒルズ,霞ヶ関,139.747775,35.66733,139.75106,35.673875,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,霞ヶ関,日比谷,139.75106,35.673875,139.76072,35.67419,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,日比谷,銀座,139.76072,35.67419,139.76391,35.67205,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,銀座,東銀座,139.76391,35.67205,139.7671,35.66959,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,東銀座,築地,139.7671,35.66959,139.77268,35.66809,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,築地,八丁堀,139.77268,35.66809,139.7774,35.67549,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,八丁堀,茅場町,139.7774,35.67549,139.77947,35.68027,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,茅場町,人形町,139.77947,35.68027,139.78178,35.68611,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,人形町,小伝馬町,139.78178,35.68611,139.77888,35.69028,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,小伝馬町,秋葉原,139.77888,35.69028,139.77435,35.69877,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,秋葉原,仲御徒町,139.77435,35.69877,139.77619,35.706655,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,仲御徒町,上野,139.77619,35.706655,139.777385,35.713315,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,上野,入谷,139.777385,35.713315,139.7848,35.72099,1,,#FFCC00,,12,
東京地下鉄,2号線日比谷線,入谷,三ノ輪,139.7848,35.72099,139.791165,35.729285,1,,#FFCC00,,12,
