鉄道事業者,路線,駅1,駅2,経度1,緯度1,経度2,緯度2,フラグ,check,value2,value3,_r,_g,_b,_sort-key
東日本旅客鉄道,東北線,東京,神田,139.76728,35.68105,139.770875,35.69177,34,神田,454779,0.968482407,255,9,0,454779
東日本旅客鉄道,中央線,神田,御茶ノ水,139.770875,35.69177,139.76503,35.699605,22,御茶ノ水,454779,0.968482407,255,9,0,454779
東日本旅客鉄道,中央線,御茶ノ水,水道橋,139.76503,35.699605,139.75507,35.70381,22,水道橋,454779,0.968482407,255,9,0,454779
東日本旅客鉄道,中央線,水道橋,飯田橋,139.75507,35.70381,139.74372,35.7016,22,飯田橋,454779,0.968482407,255,9,0,454779
東日本旅客鉄道,中央線,飯田橋,市ヶ谷,139.74372,35.7016,139.73729,35.69315,22,市ヶ谷,454779,0.968482407,255,9,0,454779
東日本旅客鉄道,中央線,市ヶ谷,四ツ谷,139.73729,35.69315,139.73063,35.68594,22,四ッ谷,454779,0.968482407,255,9,0,454779
東日本旅客鉄道,中央線,四ツ谷,信濃町,139.73063,35.68594,139.72185,35.67988,22,信濃町,454779,0.968482407,255,9,0,454779
東日本旅客鉄道,中央線,信濃町,千駄ヶ谷,139.72185,35.67988,139.7113,35.68123,22,千駄ヶ谷,454779,0.968482407,255,9,0,454779
東日本旅客鉄道,中央線,千駄ヶ谷,代々木,139.7113,35.68123,139.70221,35.683795,22,代々木,454779,0.968482407,255,9,0,454779
東日本旅客鉄道,中央線,代々木,新宿,139.70221,35.683795,139.698615,35.68843,22,新宿,454779,0.968482407,255,9,0,454779
東日本旅客鉄道,中央線,新宿,大久保,139.698615,35.68843,139.697445,35.700635,22,大久保,457739,0.974785925,255,7,0,457739
東日本旅客鉄道,中央線,大久保,東中野,139.697445,35.700635,139.68325,35.70737,22,東中野,457739,0.974785925,255,7,0,457739
東日本旅客鉄道,中央線,東中野,中野,139.68325,35.70737,139.665585,35.705955,22,中野,457739,0.974785925,255,7,0,457739
東日本旅客鉄道,中央線,中野,高円寺,139.665585,35.705955,139.64992,35.70533,22,高円寺,459219,0.977937685,255,6,0,459219
東日本旅客鉄道,中央線,高円寺,阿佐ヶ谷,139.64992,35.70533,139.6369,35.7049,22,阿佐ヶ谷,459219,0.977937685,255,6,0,459219
東日本旅客鉄道,中央線,阿佐ヶ谷,荻窪,139.6369,35.7049,139.620245,35.70443,22,荻窪,459219,0.977937685,255,6,0,459219
東日本旅客鉄道,中央線,荻窪,西荻窪,139.620245,35.70443,139.59963,35.70379,22,西荻窪,459219,0.977937685,255,6,0,459219
東日本旅客鉄道,中央線,西荻窪,吉祥寺,139.59963,35.70379,139.58035,35.70316,22,吉祥寺,459219,0.977937685,255,6,0,459219
東日本旅客鉄道,中央線,吉祥寺,三鷹,139.58035,35.70316,139.56067,35.70269,22,三鷹,459219,0.977937685,255,6,0,459219
東日本旅客鉄道,中央線,三鷹,武蔵境,139.56067,35.70269,139.543555,35.70209,22,武蔵境,469579,1,255,0,0,469579
東日本旅客鉄道,中央線,武蔵境,東小金井,139.543555,35.70209,139.52376,35.70156,22,東小金井,469579,1,255,0,0,469579
東日本旅客鉄道,中央線,東小金井,武蔵小金井,139.52376,35.70156,139.50593,35.701035,22,武蔵小金井,469579,1,255,0,0,469579
